# Gene expression analysis for TCGA-BA-4077-01 (../L_Expression/dat/BED/TCGA-BA-4077-01B-01D-2268-08.AA.chr14.B.neighbor.exon.bed)
# Created 2017-04-04 02:37:48
integration.event	gene	stream	strand	chrom	start	end	p.value	up.regulated	FDR
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ACTN1	upstream	-	14	69340859	69446157	0.03912	TRUE	0.07824
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ARG2	upstream	+	14	68086514	68118437	0.00038	TRUE	0.0038
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ATP6V1D	downstream	-	14	67802904	67826982	0.68912	TRUE	0.765688888888889
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	DCAF5	upstream	-	14	69517597	69619843	0.00318	TRUE	0.0106
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	EIF2S1	upstream	+	14	67826713	67853233	0.35897	TRUE	0.422317647058824
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	EXD2	downstream	+	14	69658227	69709075	0.00232	TRUE	0.00928
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	GALNT16	downstream	+	14	69726680	69821183	0.09495	TRUE	0.15825
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	MPP5	upstream	+	14	67707825	67802536	0.00146	TRUE	0.0073
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	PIGH	downstream	-	14	68048671	68067004	0.00059	TRUE	0.00393333333333333
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	PLEK2	downstream	-	14	67853699	67878917	0.01955	TRUE	0.0434444444444445
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	PLEKHH1	upstream	+	14	68000017	68056329	0.01119	TRUE	0.0319714285714286
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RAD51B	downstream	+	14	68758600	69196935	0	TRUE	0
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RAD51B	upstream	+	14	68286495	68353921	0.23317	TRUE	0.3331
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RDH11	downstream	-	14	68143517	68162531	0.01757	TRUE	0.0434444444444445
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RDH12	upstream	+	14	68189140	68201169	0.20006	FALSE	0.307784615384615
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RP11-1012A1.4	downstream	-	14	68126580	68157084	0.30632	TRUE	0.3829
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	TMEM229B	downstream	-	14	67936982	67982146	0.08912	TRUE	0.15825
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	VTI1B	downstream	-	14	68113791	68141548	0.77443	TRUE	0.81518947368421
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ZFP36L1	upstream	-	14	69254376	69263190	0.87117	TRUE	0.87117
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ZFYVE26	downstream	-	14	68213236	68283306	0.27195	FALSE	0.3626
