chr13	16000266	chr20	28772169	chr20
chr13	16001374	chr20	28770883	chr20
chr13	16003211	chr20	28924333	chr20
chr13	16003221	chr20	28762277	chr20
chr13	16003233	chr20	28924288	chr20
chr13	16003252	chr20	28762266	chr20
chr13	16003271	chr20	28762255	chr20
chr13	16003295	chr20	28924428	chr20
chr13	16003674	chr20	28925371	chr20
chr13	16013476	chr20	28765622	chr20
chr13	16013527	chr20	28765608	chr20
chr13	16013538	chr20	28765504	chr20
chr13	16013835	chr20	28762255	chr20
chr13	16016546	chr20	28772511	chr20
chr13	16016553	chr20	28772469	chr20
chr13	16016553	chr20	28772486	chr20
chr13	16016553	chr20	28772503	chr20
chr13	16016553	chr20	28772513	chr20
chr13	16016556	chr20	28772512	chr20
chr13	16016562	chr20	28772255	chr20
chr13	16016562	chr20	28772480	chr20
chr13	16016562	chr20	28772920	chr20
chr13	16016563	chr20	28772468	chr20
chr13	16016564	chr20	28773004	chr20
chr13	16016566	chr20	28773009	chr20
chr13	16016571	chr20	28770512	chr20
chr13	16016571	chr20	28772496	chr20
chr13	16016574	chr20	28772900	chr20
chr13	16016585	chr20	28772420	chr20
chr13	16016586	chr20	28772916	chr20
chr13	16016588	chr20	28772514	chr20
chr13	16016590	chr20	28772521	chr20
chr13	16016593	chr20	28772906	chr20
chr13	16016597	chr20	28772504	chr20
chr13	16016598	chr20	28772463	chr20
chr13	16016600	chr20	28772503	chr20
chr13	16016602	chr20	28772466	chr20
chr13	16016602	chr20	28772466	chr20
chr13	16016602	chr20	28772470	chr20
chr13	16016603	chr20	28772725	chr20
chr13	16016609	chr20	28772480	chr20
chr13	16016609	chr20	28772480	chr20
chr13	16016613	chr20	28770886	chr20
chr13	16016614	chr20	28772402	chr20
chr13	16016614	chr20	28772469	chr20
chr13	16016617	chr20	28772468	chr20
chr13	16016618	chr20	28772468	chr20
chr13	16016620	chr20	28772769	chr20
chr13	16016621	chr20	28772482	chr20
chr13	16016621	chr20	28772493	chr20
chr13	16016623	chr20	28772911	chr20
chr13	16016624	chr20	28772490	chr20
