# chromA	startA	endA	chromB	startB	endB	breakpointCount
1	111080814	111080814	gi|310698439|ref|NC_001526.2|	4956	4956	1
1	227971944	227971944	gi|310698439|ref|NC_001526.2|	5685	5685	1
1	33487338	33487338	gi|310698439|ref|NC_001526.2|	3695	3695	1
1	65382981	65382981	gi|310698439|ref|NC_001526.2|	7061	7061	1
1	76724536	85455673	gi|310698439|ref|NC_001526.2|	4551	7621	2
10	115569988	115569988	gi|310698439|ref|NC_001526.2|	4173	4173	1
10	27616684	27616684	gi|310698439|ref|NC_001526.2|	3406	3406	1
10	9602688	9681478	gi|310698439|ref|NC_001526.2|	3547	6810	2
11	106476901	106476901	gi|310698439|ref|NC_001526.2|	4787	4787	1
11	42741087	42741087	gi|310698439|ref|NC_001526.2|	2681	2681	1
11	69059347	69059347	gi|310698439|ref|NC_001526.2|	7	7	1
12	100814452	100814452	gi|310698439|ref|NC_001526.2|	731	731	1
12	112576705	112576705	gi|310698439|ref|NC_001526.2|	427	427	1
12	22060599	22060599	gi|310698439|ref|NC_001526.2|	6630	6630	1
12	75027916	80351928	gi|310698439|ref|NC_001526.2|	4498	6463	2
12	9607712	9607712	gi|310698439|ref|NC_001526.2|	5048	5048	1
13	50680043	50680043	gi|310698439|ref|NC_001526.2|	5492	5492	1
14	55794621	58533766	gi|310698439|ref|NC_001526.2|	3236	7334	2
14	68683567	68741637	gi|310698439|ref|NC_001526.2|	599	7377	764
14	88001942	89792605	gi|310698439|ref|NC_001526.2|	4854	7568	2
15	26325602	26325602	gi|310698439|ref|NC_001526.2|	3783	3783	1
15	91037196	97063982	gi|310698439|ref|NC_001526.2|	3483	5265	2
16	32578255	34759719	gi|310698439|ref|NC_001526.2|	207	4644	2
18	57329199	57329199	gi|310698439|ref|NC_001526.2|	5874	5874	1
18	71027822	71027822	gi|310698439|ref|NC_001526.2|	3520	3520	1
19	1654685	1654685	gi|310698439|ref|NC_001526.2|	7148	7148	1
19	46940033	50711016	gi|310698439|ref|NC_001526.2|	4463	4757	3
2	159872238	159872238	gi|310698439|ref|NC_001526.2|	233	233	2
20	19954246	26134587	gi|310698439|ref|NC_001526.2|	4086	4574	2
20	61449918	61787830	gi|310698439|ref|NC_001526.2|	3944	7695	2
22	49609406	49609406	gi|310698439|ref|NC_001526.2|	4853	4853	1
3	128900173	128900173	gi|310698439|ref|NC_001526.2|	7497	7497	1
3	145517168	154235513	gi|310698439|ref|NC_001526.2|	5538	6176	3
3	173452125	177137795	gi|310698439|ref|NC_001526.2|	3100	5853	2
3	190831449	190831449	gi|310698439|ref|NC_001526.2|	3756	3756	1
3	20851486	20851486	gi|310698439|ref|NC_001526.2|	4455	4455	1
3	57102373	57102373	gi|310698439|ref|NC_001526.2|	3851	3851	1
3	6921469	6921469	gi|310698439|ref|NC_001526.2|	6039	6039	1
4	153922028	153922028	gi|310698439|ref|NC_001526.2|	7276	7276	1
4	17151708	17151708	gi|310698439|ref|NC_001526.2|	5748	5748	1
4	5788597	5788597	gi|310698439|ref|NC_001526.2|	6686	6686	1
5	121963503	121963503	gi|310698439|ref|NC_001526.2|	7350	7350	1
5	146598677	146598677	gi|310698439|ref|NC_001526.2|	3562	3562	1
5	26101708	26101708	gi|310698439|ref|NC_001526.2|	5799	5799	1
5	44479800	44479800	gi|310698439|ref|NC_001526.2|	3526	3526	1
5	72482252	72482252	gi|310698439|ref|NC_001526.2|	5640	5640	1
6	144904349	144904349	gi|310698439|ref|NC_001526.2|	6763	6763	1
6	27041054	27041054	gi|310698439|ref|NC_001526.2|	6044	6044	1
6	3222912	3222912	gi|310698439|ref|NC_001526.2|	4309	4309	1
6	39359129	39359129	gi|310698439|ref|NC_001526.2|	4536	4536	1
6	65384045	65384045	gi|310698439|ref|NC_001526.2|	3511	3511	1
6	86304387	86304387	gi|310698439|ref|NC_001526.2|	3463	3463	1
7	112221562	112221562	gi|310698439|ref|NC_001526.2|	5463	5463	1
7	135331925	135331925	gi|310698439|ref|NC_001526.2|	6903	6903	1
7	153008919	153008919	gi|310698439|ref|NC_001526.2|	4677	4677	1
7	16153748	16153748	gi|310698439|ref|NC_001526.2|	6677	6677	1
7	30618633	30618690	gi|310698439|ref|NC_001526.2|	5443	5443	2
7	56320362	64623513	gi|310698439|ref|NC_001526.2|	7336	7557	2
7	5760232	5760232	gi|310698439|ref|NC_001526.2|	4464	4464	1
7	93844178	93844178	gi|310698439|ref|NC_001526.2|	5224	5224	1
8	97425698	101935143	gi|310698439|ref|NC_001526.2|	6332	6577	2
8	118581802	118581802	gi|310698439|ref|NC_001526.2|	4611	4611	1
8	39073887	39073887	gi|310698439|ref|NC_001526.2|	6054	6054	1
9	109748165	111096805	gi|310698439|ref|NC_001526.2|	5640	6671	2
9	130285438	140057279	gi|310698439|ref|NC_001526.2|	3037	3583	2
9	27739872	27739872	gi|310698439|ref|NC_001526.2|	4826	4826	1
GL000226.1	12655	12655	gi|310698439|ref|NC_001526.2|	3251	3251	1
X	141314228	150652606	gi|310698439|ref|NC_001526.2|	353	6029	2
X	23987322	23987322	gi|310698439|ref|NC_001526.2|	5911	5911	1
X	36314893	36314893	gi|310698439|ref|NC_001526.2|	7236	7236	1
X	7198228	7198228	gi|310698439|ref|NC_001526.2|	4466	4466	1
X	76311722	81291598	gi|310698439|ref|NC_001526.2|	142	735	2
