# chromA	startA	endA	chromB	startB	endB	breakpointCount
chr13	62947705	63061713	chr17	22124735	22180085	775
chr17	22158425	22159031	chrY	10658337	11009296	27
chr13	62899149	62984352	chr2	32866824	32866918	20
chr13	63028479	63028546	chrY	10946527	10988177	16
chr17	22154188	22154566	chr9	110173033	110173064	8
chr17	22136450	22137851	chrX	39097925	39097991	8
chr17	22158968	22159022	chrY	26639861	26653584	7
chr17	22158500	22159025	chr21	10705314	10734714	7
chr17	22146631	22147007	chrX	22249439	22249439	6
chr13	63028484	63028538	chrY	10792579	10844861	6
chr17	22159001	22159025	chr2	89840526	89840526	4
chr17	22158424	22158553	chr2	109199455	109199455	4
chr17	22131249	22209607	chr2	32866714	32916416	4
chr13	63028478	63028506	chr2	89840526	89840540	4
chr17	22145747	22145806	chr9	130680630	130680630	3
chr13	63058061	63058108	chr3	187339348	187339350	3
chr13	63027560	63028377	chr18	22769914	22769914	3
chr13	62983528	62984819	chr15	77618526	77618529	3
chr17	22158484	22159019	chr20	31168023	31229440	2
chr17	22153939	22154470	chr3	78354349	78354380	2
chr17	22153584	22154176	chr9	110839257	110839259	2
chr17	22146711	22146781	chr5	132724791	132724791	2
chr17	22145974	22146069	chr18	73753821	73753823	2
chr17	22142931	22147139	chrEBV	79297	166484	2
chr17	22078508	22078508	chr7	7624963	7624963	2
