chr13	62898898	chr5	84385818
chr13	62898955	chr15	22799937
chr13	62899101	chr20	4295260
chr13	62899103	chrX	84307665
chr13	62899129	chr2	72077293
chr13	62899149	chr2	32866918
chr13	62899352	chr2	237343515
chr13	62899366	chr3	12417871
chr13	62899611	chr6	63937335
chr13	62900372	chr5	114274395
chr13	62901785	chr16	9584406
chr13	62902446	chr20	235461
chr13	62902464	chr14	64688843
chr13	62902820	chr20	33600171
chr13	62903390	chr5	397452
chr13	62905359	chr15	34742385
chr13	62905851	chr9	77315071
chr13	62907241	chr18	50956103
chr13	62907381	chrX	43801513
chr13	62909163	chr3	137376709
chr13	62909352	chr3	20923030
chr13	62909416	chr22	48753271
chr13	62909441	chr6	85771473
chr13	62911397	chr8	107375383
chr13	62913169	chr14	75030384
chr13	62913310	chr6	69197824
chr13	62916075	chr19	8479753
chr13	62916271	chr19	46363318
chr13	62916578	chrX	137344347
chr13	62921666	chrX	57903484
chr13	62922863	chr7	144273591
chr13	62924499	chr7	11530433
chr13	62925489	chrX	51673026
chr13	62925628	chr6	158202797
chr13	62925785	chr7	34142519
chr13	62926311	chr17	4646695
chr13	62928362	chr5	42369352
chr13	62932425	chr6	45560754
chr13	62934265	chr16	46399790
chr13	62935199	chrX	144872174
chr13	62935541	chrX	93653644
chr13	62936408	chr7	130781098
chr13	62937042	chrX	96929602
chr13	62939431	chrX	121599969
chr13	62940240	chr5	164014674
chr13	62941108	chr14	98691960
chr13	62942183	chrX	122495288
chr13	62943297	chr7	106685234
chr13	62947055	chr8	85180512
chr13	62947176	chr5	156524104
chr13	62947220	chrX	22717951
chr13	62947342	chrX	97500756
chr13	62947362	chrX	11176309
chr13	62947685	chr3	143750098
chr13	62947705	chr17	22180085
chr13	62947718	chr17	22180085
chr13	62947816	chr17	22180085
chr13	62947876	chrX	23342267
chr13	62947922	chr17	22180085
chr13	62947933	chr7	34024360
chr13	62947935	chr17	22180085
chr13	62947939	chr17	22180085
chr13	62947956	chr14	73352486
chr13	62947980	chr16	80965204
chr13	62947981	chr17	22180085
chr13	62948044	chr17	22180085
chr13	62948048	chr17	22180085
chr13	62948071	chr17	16092649
chr13	62948099	chr6	54876295
chr13	62948144	chr17	22180085
chr13	62948179	chr17	22180085
chr13	62948191	chr6	162021109
chr13	62948248	chr7	34024379
chr13	62948272	chr14	73352486
chr13	62954662	chr4	167615793
chr13	62954744	chr6	158513752
chr13	62955485	chr14	19815650
chr13	62957224	chr4	122845132
chr13	62958955	chr7	35934651
chr13	62959034	chr7	5747747
chr13	62959685	chr9	118385697
chr13	62966842	chr14	66889785
chr13	62967476	chr6	87191273
chr13	62968496	chr6	120962424
chr13	62969108	chr2	98642140
chr13	62969563	chr2	180217888
chr13	62969856	chr5	18970385
chr13	62970407	chr20	11386878
chr13	62970786	chr2	176339424
chr13	62975809	chr9	60583994
chr13	62977474	chr8	42949414
chr13	62981295	chrX	104187102
chr13	62982244	chr4	55859368
chr13	62982592	chr5	93844305
chr13	62983129	chr2	32866872
chr13	62983149	chr2	32866829
chr13	62983242	chr2	32866844
chr13	62983282	chr2	32866864
chr13	62983353	chr2	32866826
chr13	62983431	chr2	32866872
chr13	62983485	chr2	32866850
chr13	62983486	chr2	32866825
chr13	62983499	chr2	32866868
chr13	62983504	chr18	63063675
chr13	62983514	chr2	32866874
chr13	62983518	chr2	32866863
chr13	62983528	chr15	77618526
chr13	62983539	chr2	32866825
chr13	62983541	chr6	110473485
chr13	62983556	chrX	40110645
chr13	62983567	chr2	32866824
chr13	62983581	chr2	32866869
chr13	62983587	chr2	32866851
chr13	62983622	chr2	32866863
chr13	62983665	chr6	160100729
chr13	62983734	chr3	136273572
chr13	62983737	chrX	154361047
chr13	62983758	chrX	74567874
chr13	62983775	chr18	63063680
chr13	62983809	chr17	60307089
chr13	62983832	chr2	43839387
chr13	62983843	chr22	42049696
chr13	62983849	chr5	3070640
chr13	62983852	chr2	32866846
chr13	62983879	chr15	77618526
chr13	62983881	chr2	32866826
chr13	62983882	chrX	144103807
chr13	62983914	chr5	7603796
chr13	62983920	chr7	121846496
chr13	62983981	chr4	104192793
chr13	62983981	chr6	114743768
chr13	62983981	chrX	113296156
chr13	62983996	chr7	5646696
chr13	62983999	chrX	54301789
chr13	62984100	chr7	107770196
chr13	62984352	chr2	32866881
chr13	62984819	chr15	77618529
chr13	62989713	chr16	35996237
chr13	62990367	chr14	82722158
chr13	62993003	chr6	22696429
chr13	62993565	chr5	103023849
